icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source
a4754b,N387A   ,United States,2025-08-12 14:47:31,2025-08-12 14:47:32,-97.346,32.7318,624.84,False,64.9,352.26,-1.63,662.94,3247.0,False,0
a0e264,N156VR  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-73.4805,40.9563,807.72,False,53.29,83.9,0.98,861.06,1200.0,False,0
a5f852,RTY484  ,United States,2025-08-12 14:47:24,2025-08-12 14:47:27,-104.1429,41.1668,2499.36,False,55.57,268.94,0.0,2621.28,3247.0,False,0
e8027c,LPE2458 ,Chile,2025-08-12 14:46:46,2025-08-12 14:46:46,-80.0495,-6.9884,10363.2,False,237.89,333.27,0.0,11026.14,3247.0,False,0
ad5612,N95897  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-121.6077,47.419,2232.66,False,53.98,112.41,1.63,2308.86,7753.0,False,0
a1abf5,N2069W  ,United States,2025-08-12 14:43:01,2025-08-12 14:44:08,-90.4622,15.0542,2827.02,False,94.51,352.18,0.0,3002.28,1631.0,False,0
39de4b,TVF33SN ,France,2025-08-12 14:47:32,2025-08-12 14:47:32,-3.8627,44.4029,11582.4,False,259.15,32.68,0.0,12207.24,6405.0,False,0
39de4a,TVF3289 ,France,2025-08-12 14:47:31,2025-08-12 14:47:31,21.262,43.7182,10972.8,False,215.9,287.61,0.33,11673.84,5320.0,False,0
39de4d,TVF71VN ,France,2025-08-12 14:47:32,2025-08-12 14:47:32,9.3816,43.4425,10416.54,False,224.6,138.9,-4.88,10972.8,1000.0,False,0
39de4c,TVF28HJ ,France,2025-08-12 14:47:32,2025-08-12 14:47:32,27.5916,36.762,11277.6,False,240.92,136.73,0.0,12062.46,675.0,False,0
801641,AXB1143 ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,89.6405,25.9771,9258.3,False,238.79,241.01,4.55,9898.38,467.0,False,0
a77ec5,EJA582  ,United States,2025-08-12 14:47:25,2025-08-12 14:47:31,-121.9365,37.3634,0.0,True,0.0,230.62,0.0,7406.64,3247.0,False,0
488284,SPAWE   ,Poland,2025-08-12 14:47:31,2025-08-12 14:47:32,21.5445,52.782,487.68,False,47.54,256.87,-0.98,601.98,3247.0,False,0
801640,AIC905  ,India,2025-08-12 14:47:31,2025-08-12 14:47:31,69.8096,19.2536,10378.44,False,256.37,298.0,0.33,11010.9,3247.0,False,0
ab6fdd,AAL1239 ,United States,2025-08-12 14:43:47,2025-08-12 14:43:47,-87.8904,42.0028,236.22,False,84.88,270.35,-4.23,220.98,3401.0,False,0
801645,AIC2455 ,India,2025-08-12 14:47:31,2025-08-12 14:47:32,77.7847,14.5812,10363.2,False,232.5,9.3,0.0,10949.94,2747.0,False,0
a3b87f,DAL926  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-79.5996,37.3829,10942.32,False,225.15,229.54,4.23,11590.02,7075.0,False,0
39de51,TVF8284 ,France,2025-08-12 14:47:31,2025-08-12 14:47:32,2.7815,47.5419,8374.38,False,234.43,161.84,5.2,8892.54,7645.0,False,0
488280,SPAWA   ,Poland,2025-08-12 14:47:32,2025-08-12 14:47:32,20.9505,52.2634,243.84,False,33.57,285.1,-0.98,358.14,3247.0,False,0
80163c,IGO968  ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,88.361,22.9024,1417.32,False,107.2,96.61,-3.25,1363.98,6307.0,False,0
a41ef1,N365AT  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-80.5407,28.3145,1104.9,False,78.24,268.12,1.3,1181.1,3247.0,False,0
801647,        ,India,2025-08-12 14:47:31,2025-08-12 14:47:32,78.0936,30.1002,2110.74,False,133.25,216.21,9.75,2087.88,3247.0,False,0
a53eef,US2983  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-117.3528,34.301,2613.66,False,145.2,136.58,-4.55,2743.2,5421.0,False,0
a5820f,N454MD  ,United States,2025-08-12 14:42:50,2025-08-12 14:42:50,-98.4576,29.7551,457.2,False,42.85,85.18,-2.6,510.54,3247.0,False,0
801657,AIC2820 ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,77.2494,27.9763,3169.92,False,150.06,3.93,-6.83,3246.12,3247.0,False,0
a2cbc5,N28BK   ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-87.4728,39.3659,2103.12,False,85.59,62.82,0.0,2194.56,2107.0,False,0
aae316,AAL1554 ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-83.3681,40.245,6400.8,False,218.3,43.85,-1.3,6758.94,6264.0,False,0
a36898,DAL3220 ,United States,2025-08-12 14:47:31,2025-08-12 14:47:31,-81.2365,32.1289,53.34,False,73.57,90.8,-3.58,83.82,6070.0,False,0
acdfa3,ASA399  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-99.1322,31.1088,10972.8,False,239.15,302.97,0.0,11612.88,3247.0,False,0
c034ab,MCB01   ,Canada,2025-08-12 14:47:32,2025-08-12 14:47:32,-97.4345,50.1345,2499.36,False,87.21,334.49,7.48,2491.74,3247.0,False,0
a71209,N555AL  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:33,-96.3842,30.5119,4000.5,False,147.23,161.25,-7.48,4191.0,3247.0,False,0
adffb2,TEAR4   ,United States,2025-08-12 14:47:23,2025-08-12 14:47:23,-99.3067,29.1371,5113.02,False,192.85,285.63,-19.51,5455.92,4000.0,False,0
80160b,IGO31KJ ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,74.0192,15.9743,11285.22,False,222.71,153.97,0.0,11948.16,3247.0,False,0
801615,AXB344  ,India,2025-08-12 14:45:01,2025-08-12 14:45:09,57.3851,23.7061,10195.56,False,227.05,128.38,2.28,10904.22,537.0,False,0
801623,AXB2863 ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,77.8793,13.188,1554.48,False,86.43,270.0,-3.58,1508.76,3247.0,False,0
a5955b,UPS2977 ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-104.3872,38.2431,11894.82,False,246.98,146.21,0.0,12496.8,3577.0,False,0
801622,IGO115P ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,76.7443,25.6613,11879.58,False,224.23,172.35,-0.33,12740.64,3247.0,False,0
aae327,N800PE  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-115.3972,34.1471,12496.8,False,227.74,97.4,-0.65,13152.12,3247.0,False,0
80160e,IGO124P ,India,2025-08-12 14:43:59,2025-08-12 14:43:59,74.7516,20.625,11277.6,False,212.91,38.92,0.0,12001.5,3247.0,False,0
80160d,AXB2763 ,India,2025-08-12 14:47:32,2025-08-12 14:47:32,73.3795,17.7486,10226.04,False,238.28,181.61,-4.55,10835.64,3247.0,False,0
a6186d,N492KF  ,United States,2025-08-12 14:47:32,2025-08-12 14:47:32,-149.8601,61.4907,251.46,False,56.41,12.64,2.28,312.42,1200.0,False,0
